station: station12
radial[mm] vertical[mm] counts
-59 -59 0
-59 -57 0
-59 -55 0
-59 -53 0
-59 -51 0
-59 -49 16
-59 -47 10
-59 -45 2
-59 -43 6
-59 -41 3
-59 -39 2
-59 -37 4
-59 -35 6
-59 -33 4
-59 -31 8
-59 -29 15
-59 -27 23
-59 -25 20
-59 -23 40
-59 -21 43
-59 -19 51
-59 -17 58
-59 -15 57
-59 -13 73
-59 -11 72
-59 -9 73
-59 -7 72
-59 -5 108
-59 -3 84
-59 -1 109
-59 1 88
-59 3 88
-59 5 77
-59 7 82
-59 9 72
-59 11 53
-59 13 62
-59 15 65
-59 17 46
-59 19 59
-59 21 37
-59 23 29
-59 25 30
-59 27 18
-59 29 13
-59 31 6
-59 33 4
-59 35 5
-59 37 0
-59 39 2
-59 41 1
-59 43 3
-59 45 3
-59 47 5
-59 49 5
-59 51 0
-59 53 0
-59 55 0
-59 57 0
-59 59 0
-57 -59 0
-57 -57 0
-57 -55 0
-57 -53 0
-57 -51 0
-57 -49 11
-57 -47 10
-57 -45 4
-57 -43 4
-57 -41 1
-57 -39 3
-57 -37 4
-57 -35 2
-57 -33 6
-57 -31 8
-57 -29 10
-57 -27 16
-57 -25 22
-57 -23 25
-57 -21 50
-57 -19 53
-57 -17 56
-57 -15 52
-57 -13 76
-57 -11 61
-57 -9 82
-57 -7 85
-57 -5 100
-57 -3 93
-57 -1 80
-57 1 75
-57 3 94
-57 5 91
-57 7 94
-57 9 84
-57 11 71
-57 13 70
-57 15 62
-57 17 48
-57 19 34
-57 21 34
-57 23 28
-57 25 22
-57 27 12
-57 29 10
-57 31 8
-57 33 2
-57 35 2
-57 37 3
-57 39 2
-57 41 4
-57 43 2
-57 45 3
-57 47 9
-57 49 7
-57 51 0
-57 53 0
-57 55 0
-57 57 0
-57 59 0
-55 -59 0
-55 -57 0
-55 -55 0
-55 -53 0
-55 -51 0
-55 -49 12
-55 -47 8
-55 -45 4
-55 -43 6
-55 -41 3
-55 -39 3
-55 -37 0
-55 -35 3
-55 -33 3
-55 -31 11
-55 -29 7
-55 -27 16
-55 -25 25
-55 -23 25
-55 -21 30
-55 -19 25
-55 -17 53
-55 -15 61
-55 -13 74
-55 -11 91
-55 -9 100
-55 -7 94
-55 -5 94
-55 -3 87
-55 -1 95
-55 1 83
-55 3 97
-55 5 96
-55 7 71
-55 9 88
-55 11 86
-55 13 80
-55 15 42
-55 17 56
-55 19 46
-55 21 34
-55 23 31
-55 25 23
-55 27 15
-55 29 17
-55 31 6
-55 33 0
-55 35 4
-55 37 0
-55 39 5
-55 41 3
-55 43 3
-55 45 10
-55 47 10
-55 49 9
-55 51 1
-55 53 0
-55 55 0
-55 57 0
-55 59 0
-53 -59 0
-53 -57 0
-53 -55 0
-53 -53 0
-53 -51 0
-53 -49 15
-53 -47 12
-53 -45 6
-53 -43 4
-53 -41 4
-53 -39 2
-53 -37 3
-53 -35 2
-53 -33 4
-53 -31 3
-53 -29 10
-53 -27 8
-53 -25 23
-53 -23 27
-53 -21 26
-53 -19 32
-53 -17 45
-53 -15 81
-53 -13 74
-53 -11 59
-53 -9 90
-53 -7 92
-53 -5 98
-53 -3 108
-53 -1 103
-53 1 96
-53 3 97
-53 5 91
-53 7 97
-53 9 95
-53 11 75
-53 13 69
-53 15 65
-53 17 40
-53 19 49
-53 21 33
-53 23 26
-53 25 18
-53 27 7
-53 29 8
-53 31 9
-53 33 4
-53 35 3
-53 37 3
-53 39 1
-53 41 5
-53 43 5
-53 45 7
-53 47 8
-53 49 12
-53 51 0
-53 53 0
-53 55 0
-53 57 0
-53 59 0
-51 -59 0
-51 -57 0
-51 -55 0
-51 -53 0
-51 -51 0
-51 -49 0
-51 -47 11
-51 -45 12
-51 -43 7
-51 -41 2
-51 -39 1
-51 -37 3
-51 -35 2
-51 -33 8
-51 -31 6
-51 -29 5
-51 -27 16
-51 -25 15
-51 -23 34
-51 -21 24
-51 -19 51
-51 -17 59
-51 -15 66
-51 -13 74
-51 -11 89
-51 -9 85
-51 -7 95
-51 -5 110
-51 -3 120
-51 -1 97
-51 1 113
-51 3 118
-51 5 99
-51 7 93
-51 9 83
-51 11 96
-51 13 80
-51 15 62
-51 17 48
-51 19 50
-51 21 44
-51 23 26
-51 25 16
-51 27 13
-51 29 10
-51 31 4
-51 33 2
-51 35 1
-51 37 3
-51 39 2
-51 41 3
-51 43 4
-51 45 18
-51 47 10
-51 49 3
-51 51 0
-51 53 0
-51 55 0
-51 57 0
-51 59 0
-49 -59 0
-49 -57 0
-49 -55 0
-49 -53 0
-49 -51 0
-49 -49 0
-49 -47 3
-49 -45 9
-49 -43 7
-49 -41 4
-49 -39 5
-49 -37 6
-49 -35 0
-49 -33 8
-49 -31 6
-49 -29 9
-49 -27 19
-49 -25 19
-49 -23 27
-49 -21 31
-49 -19 41
-49 -17 56
-49 -15 71
-49 -13 66
-49 -11 81
-49 -9 99
-49 -7 115
-49 -5 119
-49 -3 122
-49 -1 114
-49 1 134
-49 3 140
-49 5 103
-49 7 115
-49 9 102
-49 11 103
-49 13 77
-49 15 63
-49 17 55
-49 19 54
-49 21 48
-49 23 29
-49 25 22
-49 27 22
-49 29 5
-49 31 4
-49 33 3
-49 35 1
-49 37 4
-49 39 6
-49 41 6
-49 43 18
-49 45 7
-49 47 1
-49 49 0
-49 51 0
-49 53 0
-49 55 0
-49 57 0
-49 59 0
-47 -59 0
-47 -57 0
-47 -55 0
-47 -53 0
-47 -51 0
-47 -49 0
-47 -47 0
-47 -45 1
-47 -43 11
-47 -41 9
-47 -39 4
-47 -37 6
-47 -35 1
-47 -33 8
-47 -31 9
-47 -29 13
-47 -27 19
-47 -25 24
-47 -23 34
-47 -21 50
-47 -19 42
-47 -17 60
-47 -15 76
-47 -13 93
-47 -11 110
-47 -9 111
-47 -7 121
-47 -5 139
-47 -3 142
-47 -1 144
-47 1 128
-47 3 152
-47 5 138
-47 7 106
-47 9 132
-47 11 93
-47 13 85
-47 15 81
-47 17 70
-47 19 43
-47 21 46
-47 23 29
-47 25 20
-47 27 17
-47 29 12
-47 31 3
-47 33 3
-47 35 2
-47 37 2
-47 39 12
-47 41 9
-47 43 12
-47 45 5
-47 47 0
-47 49 0
-47 51 0
-47 53 0
-47 55 0
-47 57 0
-47 59 0
-45 -59 0
-45 -57 0
-45 -55 0
-45 -53 0
-45 -51 0
-45 -49 0
-45 -47 0
-45 -45 2
-45 -43 14
-45 -41 17
-45 -39 9
-45 -37 4
-45 -35 5
-45 -33 3
-45 -31 9
-45 -29 10
-45 -27 13
-45 -25 28
-45 -23 38
-45 -21 52
-45 -19 56
-45 -17 61
-45 -15 91
-45 -13 102
-45 -11 130
-45 -9 141
-45 -7 162
-45 -5 193
-45 -3 186
-45 -1 206
-45 1 175
-45 3 196
-45 5 183
-45 7 145
-45 9 151
-45 11 113
-45 13 107
-45 15 81
-45 17 71
-45 19 58
-45 21 55
-45 23 30
-45 25 28
-45 27 18
-45 29 11
-45 31 7
